IDPromo,IDBillet,IDPromotion,TauxPromotion,DateDebut,DateFin
70,199,2,24.59,2024-10-01,2024-10-19
71,201,1,27.64,2024-09-03,2024-09-27
72,203,2,31.88,2024-08-29,2024-09-19
73,204,1,33.1,2024-08-24,2024-09-10
74,206,3,32.48,2024-09-08,2024-09-27
75,207,1,20.7,2024-09-24,2024-10-13
76,208,2,22.35,2024-09-11,2024-10-01
77,212,1,31.77,2024-07-27,2024-08-14
78,215,3,20.55,2021-11-19,2021-12-07
79,218,1,6.61,2022-02-01,2022-02-20
80,223,1,11.84,2022-01-27,2022-02-13
81,225,3,5.57,2022-01-01,2022-01-16
82,227,2,28.1,2022-01-20,2022-02-09
83,236,2,10.74,2022-12-01,2022-12-20
84,238,2,7.77,2023-01-08,2023-01-24
85,243,3,33.25,2023-01-11,2023-01-30
86,247,3,20.11,2023-01-12,2023-01-31
87,248,1,29.23,2024-04-12,2024-05-06
88,252,3,27.42,2024-04-12,2024-04-26
89,257,2,19.03,2024-03-09,2024-04-02
90,259,3,20.78,2023-01-21,2023-02-13
91,261,3,24.11,2023-01-09,2023-01-28
92,262,3,8.51,2022-12-07,2022-12-30
93,263,3,33.04,2023-01-26,2023-02-17
94,265,3,21.55,2023-01-28,2023-02-11
95,266,3,14.54,2022-12-15,2022-12-26
96,267,1,30.42,2022-12-23,2023-01-18
97,270,2,26.83,2024-04-10,2024-05-08
98,272,3,18.72,2024-06-02,2024-06-22
99,274,3,10.38,2024-04-12,2024-05-01
100,275,3,30.81,2024-05-12,2024-05-28
101,276,1,22.73,2024-04-21,2024-05-16
102,277,2,32.41,2024-05-29,2024-06-18
103,283,2,16.97,2024-03-30,2024-04-25
104,284,2,8.02,2024-04-27,2024-05-16
105,286,2,20.93,2024-04-23,2024-05-18
106,287,3,25.07,2024-05-08,2024-05-29
107,294,2,23.06,2023-05-10,2023-05-28
108,296,3,15.86,2023-05-14,2023-06-03
109,297,2,32.07,2023-04-15,2023-05-05
110,298,3,33.16,2023-05-26,2023-06-12
111,299,2,14.93,2023-05-30,2023-06-16
112,305,2,8.85,2023-05-04,2023-05-26
113,309,2,22.8,2021-11-10,2021-12-08
114,310,3,10.28,2021-12-01,2021-12-24
115,315,1,13.74,2021-11-18,2021-12-12
116,318,1,34.42,2021-10-23,2021-11-06
117,320,1,13.39,2021-10-01,2021-10-17
118,322,3,31.06,2021-12-04,2021-12-23
119,324,3,24.86,2021-10-26,2021-11-09
120,329,3,19.25,2022-10-01,2022-10-24
121,330,2,8.66,2022-09-27,2022-10-21
122,331,1,7.52,2022-09-13,2022-10-03
123,332,3,15.48,2022-10-26,2022-11-12
124,335,1,23.72,2022-09-04,2022-09-18
125,337,1,17.89,2022-10-22,2022-11-09
126,339,3,14.99,2022-10-01,2022-10-22
127,340,1,21.31,2022-09-02,2022-09-16
128,346,2,16.62,2022-08-11,2022-08-25
129,347,3,24.93,2022-09-10,2022-09-29
130,357,1,16.89,2024-02-01,2024-02-17
131,358,3,13.51,2024-02-23,2024-03-19
132,359,3,9.38,2024-03-21,2024-04-13
133,362,3,6.36,2024-03-20,2024-04-01
134,366,2,8.09,2023-08-22,2023-09-13
135,369,3,25.01,2023-09-25,2023-10-15
136,370,3,24.59,2023-08-24,2023-09-15
137,374,1,9.06,2023-09-20,2023-10-10
138,379,3,29.74,2023-11-04,2023-11-23
139,381,2,8.66,2023-10-01,2023-10-14
140,383,1,5.57,2023-04-11,2023-04-25
141,384,2,30.97,2023-06-25,2023-07-12
142,385,1,6.71,2023-04-07,2023-05-03
143,390,2,32.1,2023-04-15,2023-05-09
144,391,3,18.83,2023-06-25,2023-07-21
145,397,1,6.03,2022-09-25,2022-10-15
146,401,3,21.09,2022-08-29,2022-09-17
147,408,1,30.44,2022-09-12,2022-10-06
148,409,1,20.78,2022-10-16,2022-11-06
149,410,3,26.71,2022-10-07,2022-10-21
150,411,1,9.35,2022-07-29,2022-08-19
151,412,3,14.68,2022-08-09,2022-08-20
152,417,2,33.29,2023-01-24,2023-02-04
153,421,1,27.85,2022-12-26,2023-01-15
154,422,1,12.64,2022-12-02,2022-12-24
155,428,3,16.67,2023-02-11,2023-02-27
156,429,1,27.03,2023-02-26,2023-03-12
157,435,1,8.04,2023-08-14,2023-08-29
158,437,2,8.19,2023-08-20,2023-09-09
159,439,2,14.38,2023-09-14,2023-10-06
160,446,1,16.43,2022-05-26,2022-06-10
161,447,1,26.72,2022-05-25,2022-06-09
162,448,2,19.32,2022-05-10,2022-06-05
163,449,3,14.96,2022-06-08,2022-07-02
164,450,1,9.15,2022-07-03,2022-07-19
165,452,2,25.95,2022-06-14,2022-07-01
166,454,2,16.18,2022-04-14,2022-05-05
167,457,1,27.18,2022-04-19,2022-05-12
168,459,2,25.04,2022-06-25,2022-07-18
169,461,1,16.03,2022-05-06,2022-05-24
170,464,2,18.14,2022-06-07,2022-06-19
171,467,3,13.32,2022-03-26,2022-04-17
172,468,2,7.22,2022-04-11,2022-04-30
173,469,3,25.4,2022-05-18,2022-06-09
174,470,1,20.84,2022-05-25,2022-06-07
175,471,2,13.93,2023-12-02,2023-12-15
176,474,2,15.28,2023-12-16,2024-01-08
177,479,2,15.3,2024-01-13,2024-02-02
178,480,3,6.52,2023-12-14,2024-01-05
179,481,2,13.89,2023-12-15,2024-01-02
180,482,2,8.56,2024-01-11,2024-02-03
181,485,1,33.72,2022-04-03,2022-04-19
182,487,2,26.34,2022-06-20,2022-07-09
183,488,3,31.68,2022-04-16,2022-05-05
184,489,2,23.47,2022-04-08,2022-04-20
185,490,3,8.65,2022-05-17,2022-06-04
186,492,2,30.45,2022-04-22,2022-05-11
187,494,1,12.46,2022-06-30,2022-07-15
188,496,1,26.95,2022-05-30,2022-06-20
189,499,1,32.77,2022-06-03,2022-06-30
190,501,2,21.93,2022-04-09,2022-04-24
191,503,1,24.13,2022-05-22,2022-06-04
192,506,1,25.56,2023-10-20,2023-11-01
193,508,3,22.21,2023-11-27,2023-12-19
194,509,2,17.3,2023-11-22,2023-12-08
195,510,2,8.55,2023-11-02,2023-11-25
196,512,2,14.22,2023-12-03,2023-12-19
197,513,3,10.37,2023-09-21,2023-10-08
198,514,3,6.44,2023-10-16,2023-11-09
199,517,2,29.66,2023-11-03,2023-12-01
200,518,1,13.49,2023-11-08,2023-11-24
201,526,3,9.46,2023-10-26,2023-11-15
202,532,1,17.08,2023-09-01,2023-09-25
203,534,3,32.39,2023-04-10,2023-05-03
204,536,2,30.05,2023-03-11,2023-03-30
205,537,1,22.51,2023-05-14,2023-05-28
206,538,1,23.56,2023-06-03,2023-06-17
207,539,3,6.49,2023-04-12,2023-05-02
208,540,1,26.56,2023-05-13,2023-06-03
209,551,1,24.98,2022-02-15,2022-03-09
210,553,2,20.79,2022-01-04,2022-01-30
211,555,3,16.48,2022-01-19,2022-02-03
212,567,2,11.95,2024-05-24,2024-06-13
213,573,1,6.14,2022-07-10,2022-07-24
214,575,3,15.56,2022-06-28,2022-07-14
215,578,2,33.41,2022-07-25,2022-08-11
216,579,2,5.36,2022-06-06,2022-07-01
217,584,3,30.58,2022-08-14,2022-09-04
218,586,3,19.56,2022-06-25,2022-07-21
219,587,2,31.35,2023-12-06,2023-12-25
220,588,2,13.08,2023-12-19,2024-01-08
221,591,1,14.78,2024-01-22,2024-02-04
222,593,3,17.86,2023-12-16,2024-01-02
223,596,2,19.62,2024-01-08,2024-01-31
224,603,2,28.01,2022-04-14,2022-05-04
225,606,1,34.67,2022-04-25,2022-05-16
226,612,2,20.75,2022-03-11,2022-04-04
227,617,2,23.89,2023-07-05,2023-07-17
228,618,1,8.01,2023-07-20,2023-08-09
229,620,2,28.94,2023-06-18,2023-07-07
230,624,2,7.89,2023-07-02,2023-07-26
231,627,1,20.31,2023-12-11,2023-12-28
232,630,1,16.82,2023-11-25,2023-12-15
233,632,2,29.21,2023-12-02,2023-12-20
234,633,3,29.61,2023-10-22,2023-11-08
235,635,3,34.01,2023-12-08,2023-12-23
236,637,2,15.37,2023-10-29,2023-11-25
237,640,1,29.51,2022-12-31,2023-01-19
238,642,3,12.36,2022-11-22,2022-12-09
239,646,3,12.21,2022-12-05,2023-01-02
240,648,1,6.85,2022-11-01,2022-11-20
241,656,3,29.83,2022-02-20,2022-03-14
242,658,1,33.69,2022-04-02,2022-04-25
243,661,3,22.16,2022-04-05,2022-04-29
244,663,1,14.32,2022-03-18,2022-04-09
245,664,3,20.94,2022-02-16,2022-03-06
246,665,3,24.8,2022-04-05,2022-04-23
247,666,2,27.72,2022-03-14,2022-03-27
248,668,3,14.04,2022-04-24,2022-05-09
249,669,2,14.9,2022-02-08,2022-03-03
250,670,3,22.26,2022-02-20,2022-03-09
251,671,3,22.07,2022-02-27,2022-03-14
252,672,2,29.52,2022-03-08,2022-03-22
253,677,3,7.38,2022-02-08,2022-02-26
254,678,2,22.77,2022-01-14,2022-02-02
255,684,2,15.94,2022-01-24,2022-02-15
256,686,1,7.57,2023-01-23,2023-02-15
257,687,2,8.74,2023-02-27,2023-03-15
258,688,3,12.21,2023-01-25,2023-02-12
259,692,1,7.94,2022-12-24,2023-01-15
260,697,1,31.82,2022-12-28,2023-01-24
261,700,1,11.49,2023-01-02,2023-01-27
262,701,2,10.33,2023-01-27,2023-02-14
263,702,2,8.61,2023-02-20,2023-03-11
264,704,3,25.48,2023-06-17,2023-07-07
265,711,1,34.01,2023-07-25,2023-08-15
266,712,1,7.35,2023-04-26,2023-05-20
267,713,2,16.0,2023-05-30,2023-06-15
268,714,3,24.73,2023-05-26,2023-06-20
269,715,1,20.74,2023-05-05,2023-05-31
270,718,2,18.73,2022-04-12,2022-04-27
271,720,2,31.42,2022-03-08,2022-03-19
272,724,1,6.58,2022-03-20,2022-04-17
273,728,1,18.01,2023-02-19,2023-03-11
274,729,2,28.36,2023-03-29,2023-04-22
275,735,1,7.98,2023-03-20,2023-04-08
276,738,2,11.08,2022-05-03,2022-05-22
277,739,1,18.51,2022-05-10,2022-05-29
278,741,2,28.59,2022-06-16,2022-07-04
279,749,3,19.73,2022-06-19,2022-07-07
280,751,3,17.69,2023-11-08,2023-11-21
281,754,1,21.98,2023-11-30,2023-12-10
282,757,2,23.14,2023-12-04,2023-12-17
283,761,2,12.3,2024-01-03,2024-01-28
284,764,3,32.54,2024-01-10,2024-01-30
285,765,2,19.92,2023-12-08,2023-12-25
286,767,1,13.16,2023-04-12,2023-05-07
287,768,2,15.29,2023-06-07,2023-06-25
288,770,2,32.49,2023-05-31,2023-06-17
289,772,1,30.07,2023-04-12,2023-04-27
290,773,2,10.69,2023-04-29,2023-05-22
291,774,2,31.57,2023-05-24,2023-06-07
292,776,1,7.45,2023-06-18,2023-07-09
293,777,2,23.71,2023-06-23,2023-07-04
294,781,3,25.29,2023-04-27,2023-05-20
295,784,2,5.2,2023-05-30,2023-06-22
296,787,3,13.94,2024-04-18,2024-05-09
297,790,1,21.24,2024-04-16,2024-05-09
298,791,1,19.24,2024-05-18,2024-06-11
299,792,3,25.82,2024-04-01,2024-04-27
300,794,2,31.08,2024-05-17,2024-06-09
301,797,2,7.16,2024-04-18,2024-05-10
302,799,1,23.07,2023-10-23,2023-11-13
303,802,1,14.13,2023-12-19,2024-01-14
304,805,3,5.03,2023-10-03,2023-10-29
305,811,2,29.61,2022-10-20,2022-11-02
306,820,2,29.5,2023-12-03,2023-12-23
307,821,3,12.09,2023-10-16,2023-11-07
308,826,3,26.31,2023-11-25,2023-12-14
309,829,2,28.37,2023-12-15,2023-12-26
310,831,2,10.28,2023-11-04,2023-11-30
311,832,2,10.62,2023-12-21,2024-01-11
312,834,2,8.37,2023-10-10,2023-11-01
313,848,3,5.57,2023-11-08,2023-12-02
314,850,2,15.36,2023-11-30,2023-12-12
315,853,2,29.62,2023-01-15,2023-01-28
316,856,3,12.48,2022-12-19,2023-01-03
317,857,1,18.11,2022-11-22,2022-12-13
318,862,1,19.42,2022-12-27,2023-01-10
319,865,1,14.35,2022-12-17,2023-01-03
320,866,3,31.95,2023-04-17,2023-05-07
321,867,3,14.36,2023-06-03,2023-06-19
322,870,1,28.84,2023-04-22,2023-05-15
323,871,3,29.54,2023-03-30,2023-04-20
324,872,1,19.12,2023-06-03,2023-06-20
325,875,1,8.91,2023-04-19,2023-05-01
326,876,2,34.08,2023-03-28,2023-04-23
327,878,1,30.14,2023-04-20,2023-05-09
328,881,1,23.78,2023-04-18,2023-05-12
329,892,3,15.81,2022-02-12,2022-03-05
330,893,3,32.18,2022-02-18,2022-03-11
331,894,1,28.61,2022-04-12,2022-05-04
332,913,3,15.1,2022-09-03,2022-09-20
333,919,1,24.0,2024-10-10,2024-10-22
334,920,2,29.72,2024-11-11,2024-11-27
335,926,1,18.97,2024-11-11,2024-11-24
336,927,2,26.45,2024-11-21,2024-12-07
337,930,3,7.08,2024-10-18,2024-11-05
338,931,1,17.16,2024-10-28,2024-11-13
339,932,3,24.14,2024-09-14,2024-10-04
340,937,3,12.37,2023-04-13,2023-05-04
341,939,3,33.98,2023-03-30,2023-04-18
342,942,2,20.35,2023-04-12,2023-04-24
343,947,3,9.21,2023-04-22,2023-05-16
344,948,2,5.51,2023-02-21,2023-03-19
345,952,2,10.98,2022-09-06,2022-09-27
346,953,3,34.75,2022-09-23,2022-10-16
347,959,3,15.39,2022-09-07,2022-10-01
348,960,2,31.71,2022-11-10,2022-11-21
349,965,3,8.69,2022-11-06,2022-11-19
350,968,3,29.69,2022-10-09,2022-10-27
351,969,1,15.41,2024-06-22,2024-07-09
352,972,2,31.51,2024-07-13,2024-08-06
353,973,1,34.6,2024-05-31,2024-06-22
354,974,2,10.44,2024-06-19,2024-07-07
355,975,1,33.65,2024-07-10,2024-08-05
356,977,3,29.02,2024-05-30,2024-06-18
357,979,2,14.46,2024-04-14,2024-05-08
358,981,3,14.32,2024-05-15,2024-06-02
359,982,3,15.43,2024-06-01,2024-06-20
360,983,3,33.63,2023-11-24,2023-12-15
361,986,3,12.38,2024-01-13,2024-02-06
362,989,1,14.19,2023-12-30,2024-01-18
363,995,3,34.59,2024-01-14,2024-02-05
364,1000,2,30.79,2023-05-23,2023-06-17
365,1001,3,12.38,2023-06-07,2023-06-29
366,1003,3,21.62,2023-04-04,2023-04-27
367,1006,3,27.71,2023-03-26,2023-04-05
368,1008,3,21.27,2023-05-14,2023-06-01
369,1010,1,30.03,2023-03-19,2023-04-05
370,1015,1,26.91,2023-01-04,2023-01-20
371,1019,2,34.76,2023-01-28,2023-02-15
372,1021,3,33.68,2023-02-17,2023-03-07
373,1022,3,34.01,2022-12-18,2023-01-12
374,1023,2,19.77,2023-01-10,2023-01-26
375,1027,2,27.3,2023-01-16,2023-01-31
376,1032,1,19.01,2023-08-05,2023-08-20
377,1035,2,26.33,2023-08-06,2023-08-24
378,1037,3,13.03,2023-09-11,2023-09-27
379,1038,1,31.78,2023-08-11,2023-09-01
380,1045,2,23.25,2022-03-29,2022-04-16
381,1047,1,9.69,2022-02-07,2022-03-07
382,1048,2,26.45,2022-03-14,2022-04-06
383,1051,2,18.13,2022-02-12,2022-02-28
384,1055,1,9.53,2022-02-18,2022-03-11
385,1057,1,9.18,2022-02-08,2022-03-01
386,1058,1,28.41,2022-02-03,2022-02-23
387,1066,3,9.65,2023-01-16,2023-02-02
388,1067,1,17.71,2023-01-30,2023-02-23
389,1072,2,27.85,2023-01-14,2023-02-05
390,1073,2,24.3,2023-01-19,2023-02-11
391,1074,1,14.24,2022-01-21,2022-02-03
392,1075,1,18.95,2021-12-19,2022-01-14
393,1077,2,16.86,2022-01-14,2022-02-07
394,1078,1,29.52,2021-12-10,2022-01-02
395,1079,3,19.28,2021-12-11,2021-12-25
396,1081,2,15.24,2021-12-04,2021-12-23
397,1086,2,15.85,2022-01-16,2022-02-10
398,1089,3,14.19,2023-07-09,2023-07-28
399,1093,3,30.16,2023-07-11,2023-07-29
400,1094,3,28.2,2023-09-02,2023-09-24
401,1095,2,26.77,2023-09-19,2023-09-30
402,1096,2,20.98,2023-08-09,2023-08-28
403,1097,3,32.58,2023-07-27,2023-08-24
404,1098,1,30.58,2023-06-25,2023-07-12
405,1101,3,25.57,2023-06-21,2023-07-13
406,1102,1,28.92,2023-08-28,2023-09-14
407,1103,3,7.2,2023-08-10,2023-08-31
408,1106,2,33.15,2023-12-27,2024-01-15
409,1110,3,10.06,2024-01-05,2024-01-27
410,1113,3,30.63,2024-01-28,2024-02-22
411,1116,3,7.76,2024-01-04,2024-01-26
412,1119,2,6.94,2023-04-22,2023-05-04
413,1123,3,33.43,2023-06-07,2023-06-28
414,1132,1,31.94,2023-04-06,2023-04-20
415,1141,1,25.93,2022-04-11,2022-04-28
416,1143,3,9.47,2022-04-16,2022-05-07
417,1147,1,27.03,2022-12-22,2023-01-04
418,1148,3,5.75,2022-12-22,2023-01-14
419,1151,3,19.78,2023-01-19,2023-02-08
420,1153,1,14.34,2022-11-17,2022-12-13
421,1156,2,15.86,2022-12-04,2022-12-21
422,1157,3,14.83,2022-12-28,2023-01-13
423,1158,2,10.38,2022-12-08,2022-12-23
424,1163,2,28.02,2023-08-23,2023-09-05
425,1167,1,16.75,2023-08-12,2023-08-31
426,1171,3,11.15,2023-07-25,2023-08-13
427,1174,1,21.94,2023-01-05,2023-01-23
428,1177,3,6.7,2022-12-15,2023-01-01
429,1178,3,14.47,2023-01-05,2023-01-25
430,1182,2,17.5,2022-12-27,2023-01-13
431,1183,2,29.76,2023-02-01,2023-02-24
432,1184,1,21.77,2023-02-05,2023-02-26
433,1193,1,20.76,2024-09-09,2024-10-02
434,1196,1,6.77,2024-09-15,2024-10-11
435,1197,1,19.77,2024-08-16,2024-08-28
436,1200,1,10.04,2024-08-05,2024-08-27
437,1205,3,26.49,2024-08-29,2024-09-20
438,1206,1,14.27,2024-09-24,2024-10-10
439,1207,3,29.59,2024-07-25,2024-08-19
440,1210,3,25.09,2023-12-23,2024-01-07
441,1213,3,20.02,2024-02-20,2024-03-10
442,1215,2,24.25,2024-01-10,2024-01-29
443,1218,2,15.27,2023-12-17,2024-01-08
444,1221,3,6.06,2024-01-16,2024-02-10
445,1226,2,13.37,2024-01-07,2024-01-23
446,1227,1,5.6,2023-12-07,2023-12-20
447,1229,2,19.88,2024-06-26,2024-07-15
448,1232,1,8.25,2024-07-04,2024-07-24
449,1236,3,24.56,2024-06-30,2024-07-21
450,1240,1,24.73,2024-05-22,2024-06-12
451,1241,3,28.72,2024-05-20,2024-06-06
452,1242,1,21.81,2024-04-21,2024-05-08
453,1245,2,30.5,2024-04-13,2024-05-01
454,1248,3,20.63,2022-07-15,2022-08-04
455,1249,3,16.84,2022-08-15,2022-09-01
456,1250,1,27.09,2022-08-20,2022-09-13
457,1260,1,14.55,2022-09-24,2022-10-21
458,1263,3,9.45,2022-08-01,2022-08-17
459,1267,2,15.65,2023-03-17,2023-04-05
460,1268,2,26.71,2023-04-27,2023-05-16
461,1269,3,30.34,2023-05-19,2023-06-07
462,1270,1,30.5,2023-05-31,2023-06-16
463,1271,1,23.56,2023-05-26,2023-06-12
464,1275,2,5.29,2023-03-16,2023-04-10
465,1279,3,34.96,2023-04-24,2023-05-12
466,1282,1,24.4,2022-08-18,2022-09-05
467,1285,1,13.33,2022-09-22,2022-10-09
468,1286,1,20.76,2022-09-26,2022-10-15
469,1288,3,11.91,2022-08-15,2022-08-31
470,1289,3,32.87,2022-07-13,2022-07-31
471,1299,2,23.97,2023-03-22,2023-04-14
472,1303,1,8.99,2023-03-31,2023-04-16
473,1304,3,27.42,2023-04-28,2023-05-17
474,1305,3,14.67,2023-03-25,2023-04-12
475,1307,3,24.47,2023-03-06,2023-03-23
476,1315,3,22.75,2023-04-09,2023-04-27
477,1317,3,23.11,2023-04-06,2023-05-04
478,1318,1,23.41,2023-06-05,2023-06-20
479,1320,1,31.56,2023-05-29,2023-06-20
480,1324,3,13.98,2024-03-21,2024-04-06
481,1326,1,21.5,2024-03-18,2024-04-06
482,1329,1,30.3,2024-05-10,2024-05-26
483,1333,2,29.71,2024-02-14,2024-02-29
484,1337,1,16.66,2024-03-09,2024-03-24
485,1339,3,33.68,2024-03-17,2024-04-12
486,1340,2,8.23,2024-02-27,2024-03-21
487,1341,1,21.37,2024-02-26,2024-03-19
488,1343,3,15.45,2024-01-15,2024-02-02
489,1345,2,29.27,2024-01-30,2024-02-26
490,1350,2,15.05,2024-02-21,2024-03-03
491,1351,3,18.44,2023-12-10,2024-01-04
492,1354,3,8.21,2024-02-16,2024-03-02
493,1359,3,30.5,2024-01-28,2024-02-14
494,1360,2,30.63,2023-11-28,2023-12-15
495,1361,2,8.82,2023-10-06,2023-10-19
496,1362,1,19.0,2023-12-22,2024-01-09
497,1363,3,21.02,2023-10-16,2023-11-04
498,1370,1,30.73,2023-10-09,2023-10-28
499,1373,3,22.91,2023-11-01,2023-11-19
500,1376,1,25.61,2023-10-10,2023-11-05
501,1378,3,10.18,2023-12-04,2023-12-23
502,1382,3,19.51,2023-02-22,2023-03-11
503,1383,1,25.27,2023-01-31,2023-02-17
504,1385,2,5.39,2022-12-27,2023-01-14
505,1386,2,23.26,2022-12-16,2023-01-11
506,1387,3,28.73,2022-12-21,2023-01-06
507,1389,2,10.18,2023-02-15,2023-03-05
508,1393,3,15.63,2023-01-22,2023-02-05
509,1397,2,24.03,2023-02-15,2023-03-13
510,1400,3,14.6,2022-07-17,2022-08-09
511,1401,2,18.81,2022-07-09,2022-07-27
512,1402,3,17.57,2022-07-16,2022-08-04
513,1409,2,14.89,2022-08-16,2022-09-05
514,1410,1,12.05,2022-08-06,2022-08-21
515,1411,2,26.31,2022-08-24,2022-09-15
516,1412,1,15.18,2022-07-01,2022-07-20
517,1419,3,28.5,2024-10-13,2024-10-31
518,1420,3,16.79,2024-08-30,2024-09-12
519,1421,2,8.06,2024-10-07,2024-10-31
520,1422,2,18.75,2024-08-17,2024-09-12
521,1431,1,26.36,2024-08-14,2024-08-30
522,1433,3,22.77,2024-07-28,2024-08-20
523,1434,2,24.62,2024-09-12,2024-10-05
524,1438,1,5.22,2024-08-09,2024-09-01
525,1444,2,15.93,2024-08-29,2024-09-21
526,1445,2,34.3,2024-09-05,2024-09-20
527,1459,2,18.95,2022-05-12,2022-05-25
528,1462,1,8.1,2022-04-09,2022-05-01
529,1467,1,11.64,2022-01-04,2022-01-23
530,1469,3,23.57,2022-02-21,2022-03-11
531,1472,1,26.09,2022-03-07,2022-03-26
532,1474,1,28.0,2022-02-11,2022-02-27
533,1477,2,9.67,2022-03-14,2022-04-04
534,1483,2,27.26,2022-06-29,2022-07-17
535,1484,3,25.99,2022-05-15,2022-05-27
536,1489,1,32.31,2022-07-21,2022-08-03
537,1498,3,5.17,2022-10-11,2022-11-02
538,1503,3,20.2,2022-10-14,2022-10-26
539,1504,3,31.99,2022-08-06,2022-08-25
540,1509,2,17.86,2022-09-04,2022-09-24
541,1510,1,8.48,2022-09-27,2022-10-21
542,1512,3,7.83,2022-09-21,2022-10-11
543,1513,1,14.01,2022-08-25,2022-09-14
544,1514,1,7.7,2022-09-26,2022-10-12
545,1516,1,15.6,2022-08-09,2022-08-26
546,1521,3,28.32,2024-01-26,2024-02-16
547,1522,3,20.3,2024-02-17,2024-03-04
548,1523,3,6.44,2024-02-02,2024-02-16
549,1529,2,30.26,2024-04-10,2024-04-26
550,1532,3,8.25,2024-03-10,2024-03-26
551,1533,3,27.61,2024-04-12,2024-05-01
552,1540,2,18.54,2024-02-12,2024-03-10
553,1543,3,27.48,2022-03-05,2022-03-17
554,1545,1,28.98,2022-02-02,2022-02-19
555,1546,2,30.39,2022-04-05,2022-04-29
556,1548,2,12.79,2022-04-12,2022-05-02
557,1549,2,17.3,2022-04-16,2022-05-03
558,1553,2,14.48,2022-02-18,2022-03-17
559,1560,1,5.97,2024-01-16,2024-02-02
560,1562,1,33.75,2024-01-05,2024-01-19
561,1563,2,30.32,2024-01-24,2024-02-15
562,1568,2,33.27,2023-12-11,2024-01-03
563,1571,1,6.66,2024-01-19,2024-01-30
564,1572,1,14.34,2023-11-18,2023-12-08
565,1574,2,16.82,2024-01-25,2024-02-17
566,1575,3,24.66,2024-01-26,2024-02-09
567,1576,3,18.78,2023-11-22,2023-12-09
568,1578,3,22.37,2024-01-03,2024-01-20
569,1579,2,18.1,2023-11-15,2023-12-08
570,1582,1,21.16,2023-12-04,2023-12-16
571,1590,1,11.63,2023-11-16,2023-12-07
