IDBillet;IDCanal;IDVol;TarifBase;PrixAchat;DateAchat;Classe;Status
92;31;VOL00007;775.46;581.05;24/05/2022;Eco;Payé
93;27;VOL00007;775.46;775.46;21/06/2022;Eco;Payé
94;10;VOL00007;775.46;642.86;23/06/2022;Eco;Payé
95;7;VOL00007;775.46;533.28;28/06/2022;Eco;Payé
96;41;VOL00007;775.46;775.46;12/07/2022;Eco;Payé
97;8;VOL00007;1163.19;1163.19;20/05/2022;Affaire;Payé
98;7;VOL00007;775.46;775.46;05/05/2022;Eco;Payé
99;37;VOL00007;1163.19;871.93;04/07/2022;Affaire;Payé
100;40;VOL00007;775.46;762.52;01/06/2022;Affaire;Payé
101;34;VOL00007;775.46;679.85;01/07/2022;Eco;Payé
102;5;VOL00007;775.46;775.46;13/06/2022;Eco;Payé
103;1;VOL00007;775.46;532.66;29/06/2022;Eco;Payé
104;27;VOL00007;775.46;775.46;26/05/2022;Eco;Payé
105;11;VOL00007;775.46;775.46;08/07/2022;Eco;Payé
106;4;VOL00007;1163.19;1163.19;16/06/2022;Affaire;Payé
107;29;VOL00008;439.43;439.43;29/03/2022;Eco;Payé
108;34;VOL00008;659.15;659.15;19/05/2022;Affaire;Payé
109;19;VOL00008;439.43;626.92;14/04/2022;Affaire;Payé
110;36;VOL00008;439.43;439.43;29/03/2022;Eco;Payé
111;20;VOL00008;659.15;456.92;10/04/2022;Affaire;Payé
112;28;VOL00008;439.43;656.43;26/03/2022;Affaire;Payé
113;32;VOL00008;439.43;305.36;21/03/2022;Eco;Payé
114;12;VOL00008;439.43;439.43;25/04/2022;Eco;Payé
115;8;VOL00008;439.43;439.43;17/05/2022;Eco;Payé
116;32;VOL00008;439.43;634.71;23/03/2022;Affaire;Payé
117;25;VOL00008;659.15;659.15;23/03/2022;Affaire;Payé
118;19;VOL00008;439.43;439.43;08/04/2022;Eco;Payé
119;6;VOL00008;439.43;586.08;06/05/2022;Affaire;Payé
120;28;VOL00008;439.43;669.44;04/05/2022;Affaire;Payé
121;36;VOL00008;659.15;659.15;13/06/2022;Affaire;Payé
122;24;VOL00008;439.43;615.43;06/04/2022;Affaire;Payé
123;28;VOL00008;439.43;439.43;16/05/2022;Eco;Payé
124;24;VOL00009;861.66;861.66;29/03/2024;Eco;Payé
125;24;VOL00009;861.66;861.66;29/02/2024;Eco;Payé
126;8;VOL00009;861.66;861.66;24/04/2024;Eco;Payé
127;38;VOL00009;861.66;861.66;17/02/2024;Eco;Payé
128;33;VOL00009;861.66;861.66;07/03/2024;Eco;Payé
129;34;VOL00009;861.66;861.66;22/04/2024;Eco;Payé
130;27;VOL00009;861.66;792.38;20/03/2024;Eco;Payé
131;37;VOL00009;861.66;626.0;02/03/2024;Eco;Payé
132;18;VOL00009;861.66;861.66;13/02/2024;Eco;Payé
133;19;VOL00009;861.66;861.66;20/02/2024;Eco;Payé
134;18;VOL00009;1292.48;1292.48;26/04/2024;Affaire;Payé
135;25;VOL00010;193.58;193.58;09/12/2021;Eco;Payé
136;26;VOL00010;193.58;193.58;20/02/2022;Eco;Payé
137;34;VOL00010;193.58;139.4;07/01/2022;Eco;Payé
138;25;VOL00010;290.37;256.6;21/12/2021;Affaire;Payé
139;27;VOL00010;290.37;290.37;02/02/2022;Affaire;Payé
140;26;VOL00010;193.58;193.58;20/02/2022;Eco;Payé
141;16;VOL00010;290.37;290.37;06/12/2021;Affaire;Payé
142;2;VOL00010;290.37;263.8;31/12/2021;Affaire;Payé
143;24;VOL00010;193.58;315.5;16/02/2022;Affaire;Payé
144;5;VOL00010;193.58;193.58;22/02/2022;Eco;Payé
145;25;VOL00010;193.58;177.32;28/12/2021;Eco;Payé
146;34;VOL00010;290.37;232.93;28/01/2022;Affaire;Payé
147;37;VOL00011;173.61;270.61;19/02/2022;Affaire;Payé
148;1;VOL00011;173.61;173.61;15/02/2022;Eco;Payé
149;21;VOL00011;173.61;339.61;11/01/2022;Affaire;Payé
150;11;VOL00011;173.61;173.61;24/11/2021;Eco;Payé
151;14;VOL00011;173.61;156.44;24/11/2021;Eco;Payé
152;19;VOL00011;173.61;173.61;17/12/2021;Eco;Payé
153;33;VOL00011;173.61;173.61;24/01/2022;Eco;Payé
154;37;VOL00011;173.61;173.61;14/12/2021;Eco;Payé
155;25;VOL00011;173.61;306.61;05/02/2022;Affaire;Payé
156;19;VOL00011;173.61;406.61;03/02/2022;Affaire;Payé
157;40;VOL00011;173.61;173.61;01/01/2022;Eco;Payé
158;30;VOL00011;173.61;444.61;03/01/2022;Affaire;Payé
159;19;VOL00011;173.61;173.61;17/12/2021;Eco;Payé
160;3;VOL00012;783.01;609.49;06/04/2022;Affaire;Payé
161;30;VOL00012;522.01;522.01;26/05/2022;Eco;Payé
162;25;VOL00012;783.01;783.01;15/06/2022;Affaire;Payé
163;38;VOL00012;783.01;553.2;28/06/2022;Affaire;Payé
164;25;VOL00012;522.01;522.01;20/05/2022;Eco;Payé
165;16;VOL00012;522.01;355.7;17/04/2022;Eco;Payé
166;32;VOL00012;522.01;388.32;03/04/2022;Eco;Payé
167;41;VOL00012;522.01;522.01;15/04/2022;Eco;Payé
168;11;VOL00012;783.01;783.01;07/06/2022;Affaire;Payé
169;39;VOL00012;783.01;576.69;24/05/2022;Affaire;Payé
170;2;VOL00012;522.01;522.01;26/05/2022;Eco;Payé
171;12;VOL00012;522.01;522.01;19/06/2022;Eco;Payé
172;20;VOL00012;522.01;801.01;08/04/2022;Affaire;Payé
173;18;VOL00012;522.01;450.86;03/05/2022;Eco;Payé
174;12;VOL00013;781.7;633.72;12/03/2023;Eco;Payé
175;30;VOL00013;781.7;939.7;05/02/2023;Affaire;Payé
176;17;VOL00013;781.7;781.7;26/01/2023;Eco;Payé
177;35;VOL00013;781.7;982.7;02/02/2023;Affaire;Payé
178;23;VOL00013;781.7;781.7;08/03/2023;Eco;Payé
179;36;VOL00013;781.7;781.7;09/03/2023;Eco;Payé
180;17;VOL00013;781.7;781.7;23/01/2023;Eco;Payé
181;11;VOL00013;781.7;653.97;16/02/2023;Eco;Payé
182;19;VOL00013;781.7;781.7;27/02/2023;Eco;Payé
183;2;VOL00013;1172.55;1172.55;26/01/2023;Affaire;Payé
184;13;VOL00013;781.7;1054.7;18/02/2023;Affaire;Payé
185;20;VOL00013;781.7;781.7;09/02/2023;Eco;Payé
186;1;VOL00013;781.7;781.7;29/12/2022;Eco;Payé
187;38;VOL00013;781.7;781.7;15/02/2023;Eco;Payé
188;38;VOL00014;779.76;779.76;02/02/2023;Eco;Payé
189;1;VOL00014;779.76;649.23;11/02/2023;Eco;Payé
190;42;VOL00014;779.76;604.39;27/03/2023;Eco;Payé
191;14;VOL00014;779.76;779.76;23/01/2023;Eco;Payé
192;28;VOL00014;779.76;570.39;27/03/2023;Eco;Payé
193;37;VOL00014;1169.64;1169.64;20/03/2023;Affaire;Payé
194;31;VOL00014;779.76;779.76;19/01/2023;Eco;Payé
195;8;VOL00014;779.76;633.79;17/01/2023;Eco;Payé
196;3;VOL00014;779.76;548.56;03/04/2023;Eco;Payé
197;13;VOL00014;1169.64;1169.64;02/03/2023;Affaire;Payé
198;36;VOL00014;1169.64;860.74;21/02/2023;Affaire;Payé
199;31;VOL00015;736.35;555.28;10/10/2024;Eco;Payé
200;41;VOL00015;736.35;736.35;20/09/2024;Eco;Payé
201;23;VOL00015;736.35;532.82;17/09/2024;Eco;Payé
202;25;VOL00015;736.35;736.35;17/09/2024;Eco;Payé
203;28;VOL00015;736.35;501.6;10/09/2024;Eco;Payé
204;12;VOL00015;1104.53;738.93;02/09/2024;Affaire;Payé
205;20;VOL00015;1104.53;1104.53;09/10/2024;Affaire;Payé
206;31;VOL00015;736.35;497.18;22/09/2024;Eco;Payé
207;35;VOL00015;736.35;583.93;02/10/2024;Eco;Payé
208;29;VOL00015;1104.53;857.67;17/09/2024;Affaire;Payé
209;40;VOL00015;736.35;736.35;17/08/2024;Eco;Payé
210;12;VOL00015;736.35;736.35;19/08/2024;Eco;Payé
211;17;VOL00015;1104.53;1104.53;12/08/2024;Affaire;Payé
212;21;VOL00015;1104.53;753.62;05/08/2024;Affaire;Payé
213;38;VOL00016;122.79;122.79;25/11/2021;Eco;Payé
214;17;VOL00016;122.79;122.79;23/11/2021;Eco;Payé
215;25;VOL00016;122.79;223.56;02/12/2021;Affaire;Payé
216;3;VOL00016;122.79;122.79;13/01/2022;Eco;Payé
217;15;VOL00016;122.79;122.79;20/12/2021;Eco;Payé
218;36;VOL00016;122.79;361.67;09/02/2022;Affaire;Payé
219;18;VOL00016;184.18;184.18;20/12/2021;Affaire;Payé
220;39;VOL00016;122.79;199.79;04/02/2022;Affaire;Payé
221;4;VOL00016;122.79;122.79;12/02/2022;Eco;Payé
222;7;VOL00016;122.79;122.79;12/01/2022;Eco;Payé
223;22;VOL00016;122.79;108.25;08/02/2022;Eco;Payé
224;16;VOL00016;122.79;122.79;20/01/2022;Eco;Payé
225;33;VOL00016;184.18;173.92;07/01/2022;Affaire;Payé
226;22;VOL00016;122.79;224.79;08/01/2022;Affaire;Payé
227;1;VOL00016;122.79;88.29;03/02/2022;Eco;Payé
228;34;VOL00017;685.29;685.29;13/11/2022;Eco;Payé
229;30;VOL00017;685.29;685.29;25/01/2023;Eco;Payé
230;11;VOL00017;685.29;685.29;31/01/2023;Eco;Payé
231;33;VOL00017;685.29;685.29;16/01/2023;Eco;Payé
232;5;VOL00017;1027.93;1027.93;23/01/2023;Affaire;Payé
233;39;VOL00017;685.29;685.29;12/11/2022;Eco;Payé
234;15;VOL00017;685.29;685.29;30/11/2022;Eco;Payé
235;28;VOL00017;685.29;685.29;14/01/2023;Eco;Payé
236;3;VOL00017;685.29;611.69;14/12/2022;Eco;Payé
237;21;VOL00017;685.29;685.29;20/11/2022;Eco;Payé
238;16;VOL00017;685.29;632.04;18/01/2023;Eco;Payé
239;28;VOL00017;1027.93;1027.93;06/11/2022;Affaire;Payé
240;24;VOL00017;685.29;685.29;28/11/2022;Eco;Payé
241;7;VOL00017;685.29;685.29;08/11/2022;Eco;Payé
242;42;VOL00017;685.29;881.29;30/12/2022;Affaire;Payé
243;30;VOL00017;685.29;457.43;21/01/2023;Eco;Payé
244;26;VOL00017;685.29;685.29;21/12/2022;Eco;Payé
245;32;VOL00017;685.29;685.29;18/12/2022;Eco;Payé
246;18;VOL00017;685.29;787.29;02/01/2023;Affaire;Payé
247;41;VOL00017;685.29;547.48;25/01/2023;Eco;Payé
248;7;VOL00018;1053.04;745.24;24/04/2024;Affaire;Payé
249;28;VOL00018;702.03;702.03;30/03/2024;Eco;Payé
250;2;VOL00018;1053.04;1053.04;05/02/2024;Affaire;Payé
251;34;VOL00018;1053.04;1053.04;24/04/2024;Affaire;Payé
252;14;VOL00018;702.03;509.53;21/04/2024;Eco;Payé
253;22;VOL00018;1053.04;1053.04;16/04/2024;Affaire;Payé
254;37;VOL00018;702.03;702.03;21/04/2024;Eco;Payé
255;40;VOL00018;702.03;702.03;14/02/2024;Eco;Payé
256;37;VOL00018;702.03;702.03;05/03/2024;Eco;Payé
257;35;VOL00018;702.03;568.43;20/03/2024;Eco;Payé
258;21;VOL00019;410.45;410.45;31/01/2023;Eco;Payé
259;7;VOL00019;615.68;487.74;03/02/2023;Affaire;Payé
260;16;VOL00019;410.45;410.45;14/02/2023;Eco;Payé
261;5;VOL00019;410.45;477.49;22/01/2023;Affaire;Payé
262;1;VOL00019;410.45;375.52;19/12/2022;Eco;Payé
263;37;VOL00019;410.45;274.84;07/02/2023;Eco;Payé
264;6;VOL00019;615.68;615.68;26/12/2022;Affaire;Payé
265;9;VOL00019;410.45;322.0;03/02/2023;Eco;Payé
266;8;VOL00019;410.45;573.77;21/12/2022;Affaire;Payé
267;32;VOL00019;615.68;428.39;06/01/2023;Affaire;Payé
268;17;VOL00019;615.68;615.68;26/12/2022;Affaire;Payé
269;2;VOL00019;410.45;410.45;19/12/2022;Eco;Payé
270;33;VOL00020;280.26;205.07;24/04/2024;Affaire;Payé
271;41;VOL00020;280.26;280.26;25/06/2024;Affaire;Payé
272;16;VOL00020;280.26;227.8;13/06/2024;Affaire;Payé
273;29;VOL00020;186.84;447.84;01/06/2024;Affaire;Payé
274;29;VOL00020;186.84;437.45;21/04/2024;Affaire;Payé
275;9;VOL00020;186.84;129.27;23/05/2024;Eco;Payé
276;36;VOL00020;186.84;144.37;03/05/2024;Eco;Payé
277;11;VOL00020;186.84;126.29;08/06/2024;Eco;Payé
278;6;VOL00020;186.84;186.84;26/04/2024;Eco;Payé
279;18;VOL00020;186.84;262.84;14/04/2024;Affaire;Payé
280;9;VOL00020;186.84;186.84;05/05/2024;Eco;Payé
281;7;VOL00020;280.26;280.26;16/06/2024;Affaire;Payé
282;36;VOL00020;186.84;186.84;11/05/2024;Eco;Payé
283;37;VOL00020;186.84;155.13;11/04/2024;Eco;Payé
284;39;VOL00020;186.84;171.86;02/05/2024;Eco;Payé
285;3;VOL00020;186.84;186.84;01/06/2024;Eco;Payé
286;15;VOL00020;186.84;147.73;05/05/2024;Eco;Payé
287;35;VOL00020;280.26;210.0;20/05/2024;Affaire;Payé
288;19;VOL00020;186.84;186.84;25/04/2024;Eco;Payé
289;28;VOL00020;186.84;186.84;21/05/2024;Eco;Payé
290;2;VOL00021;466.01;466.01;04/05/2023;Eco;Payé
291;23;VOL00021;466.01;466.01;21/04/2023;Eco;Payé
292;12;VOL00021;466.01;466.01;18/05/2023;Eco;Payé
293;10;VOL00021;466.01;466.01;29/06/2023;Eco;Payé
294;27;VOL00021;466.01;358.55;17/05/2023;Eco;Payé
295;13;VOL00021;466.01;466.01;21/04/2023;Eco;Payé
296;4;VOL00021;699.01;588.15;21/05/2023;Affaire;Payé
297;34;VOL00021;466.01;316.56;23/04/2023;Eco;Payé
298;8;VOL00021;699.01;467.22;02/06/2023;Affaire;Payé
299;3;VOL00021;466.01;396.43;06/06/2023;Eco;Payé
300;29;VOL00021;466.01;466.01;22/04/2023;Eco;Payé
301;33;VOL00021;466.01;466.01;23/05/2023;Eco;Payé
302;10;VOL00021;699.01;699.01;05/05/2023;Affaire;Payé
303;19;VOL00021;699.01;699.01;17/05/2023;Affaire;Payé
304;38;VOL00021;466.01;673.01;11/05/2023;Affaire;Payé
305;16;VOL00021;466.01;607.77;12/05/2023;Affaire;Payé
306;10;VOL00021;466.01;560.01;26/04/2023;Affaire;Payé
307;29;VOL00021;466.01;466.01;05/05/2023;Eco;Payé
308;1;VOL00021;466.01;466.01;20/06/2023;Eco;Payé
309;3;VOL00022;686.59;530.05;24/11/2021;Eco;Payé
310;15;VOL00022;686.59;616.01;15/12/2021;Eco;Payé
311;33;VOL00022;686.59;947.59;03/11/2021;Affaire;Payé
312;14;VOL00022;686.59;686.59;23/11/2021;Eco;Payé
313;37;VOL00022;686.59;942.59;09/10/2021;Affaire;Payé
314;28;VOL00022;686.59;909.59;22/10/2021;Affaire;Payé
315;19;VOL00022;686.59;790.25;02/12/2021;Affaire;Payé
316;38;VOL00022;686.59;686.59;09/11/2021;Eco;Payé
317;1;VOL00022;686.59;686.59;13/10/2021;Eco;Payé
318;31;VOL00022;1029.88;675.4;31/10/2021;Affaire;Payé
319;25;VOL00022;686.59;686.59;31/10/2021;Eco;Payé
320;30;VOL00022;686.59;594.66;07/10/2021;Eco;Payé
321;1;VOL00022;1029.88;1029.88;01/01/2022;Affaire;Payé
322;40;VOL00022;1029.88;710.0;15/12/2021;Affaire;Payé
323;26;VOL00022;686.59;686.59;26/11/2021;Eco;Payé
324;27;VOL00022;686.59;515.9;01/11/2021;Eco;Payé
325;30;VOL00022;1029.88;1029.88;29/12/2021;Affaire;Payé
326;41;VOL00022;686.59;686.59;18/10/2021;Eco;Payé
327;1;VOL00022;686.59;686.59;14/10/2021;Eco;Payé
328;41;VOL00023;1292.18;1424.18;22/08/2022;Affaire;Payé
329;6;VOL00023;1938.27;1565.15;13/10/2022;Affaire;Payé
330;25;VOL00023;1292.18;1180.28;09/10/2022;Eco;Payé
331;21;VOL00023;1938.27;1792.51;24/09/2022;Affaire;Payé
332;26;VOL00023;1292.18;1211.15;03/11/2022;Affaire;Payé
333;15;VOL00023;1292.18;1292.18;20/09/2022;Eco;Payé
334;37;VOL00023;1938.27;1938.27;22/10/2022;Affaire;Payé
335;9;VOL00023;1938.27;1478.51;09/09/2022;Affaire;Payé
336;36;VOL00023;1292.18;1292.18;10/09/2022;Eco;Payé
337;12;VOL00023;1292.18;1358.01;29/10/2022;Affaire;Payé
338;41;VOL00023;1938.27;1938.27;07/11/2022;Affaire;Payé
339;33;VOL00023;1292.18;1384.48;08/10/2022;Affaire;Payé
340;5;VOL00023;1938.27;1525.22;10/09/2022;Affaire;Payé
341;16;VOL00023;1938.27;1938.27;08/10/2022;Affaire;Payé
342;2;VOL00023;1292.18;1474.18;09/10/2022;Affaire;Payé
343;3;VOL00023;1292.18;1292.18;19/09/2022;Eco;Payé
344;30;VOL00023;1292.18;1292.18;25/08/2022;Eco;Payé
345;32;VOL00023;1292.18;1292.18;19/08/2022;Eco;Payé
346;31;VOL00023;1292.18;1077.42;17/08/2022;Eco;Payé
347;15;VOL00023;1938.27;1455.06;16/09/2022;Affaire;Payé
348;19;VOL00024;528.28;685.28;09/04/2024;Affaire;Payé
349;32;VOL00024;792.42;792.42;11/02/2024;Affaire;Payé
350;31;VOL00024;528.28;669.28;13/02/2024;Affaire;Payé
351;3;VOL00024;792.42;792.42;25/04/2024;Affaire;Payé
352;40;VOL00024;528.28;528.28;27/03/2024;Eco;Payé
353;28;VOL00024;528.28;528.28;02/05/2024;Eco;Payé
354;35;VOL00024;528.28;528.28;27/03/2024;Eco;Payé
355;39;VOL00024;528.28;623.28;25/04/2024;Affaire;Payé
356;38;VOL00024;528.28;698.28;21/03/2024;Affaire;Payé
357;34;VOL00024;528.28;533.05;08/02/2024;Affaire;Payé
358;35;VOL00024;528.28;456.91;05/03/2024;Eco;Payé
359;22;VOL00024;528.28;478.73;31/03/2024;Eco;Payé
360;32;VOL00024;528.28;528.28;25/02/2024;Eco;Payé
361;24;VOL00024;528.28;528.28;05/03/2024;Eco;Payé
362;24;VOL00024;528.28;494.68;27/03/2024;Eco;Payé
363;4;VOL00024;528.28;677.28;22/02/2024;Affaire;Payé
364;13;VOL00024;528.28;528.28;08/02/2024;Eco;Payé
365;41;VOL00024;528.28;825.28;21/03/2024;Affaire;Payé
366;31;VOL00025;173.61;159.56;31/08/2023;Eco;Payé
367;36;VOL00025;173.61;429.61;17/09/2023;Affaire;Payé
368;12;VOL00025;260.41;260.41;14/10/2023;Affaire;Payé
369;6;VOL00025;173.61;130.19;07/10/2023;Eco;Payé
370;38;VOL00025;173.61;227.92;07/09/2023;Affaire;Payé
371;10;VOL00025;173.61;173.61;09/10/2023;Eco;Payé
372;22;VOL00025;260.41;260.41;02/11/2023;Affaire;Payé
373;6;VOL00025;173.61;173.61;18/10/2023;Eco;Payé
374;4;VOL00025;173.61;157.88;27/09/2023;Eco;Payé
375;8;VOL00025;260.41;260.41;03/10/2023;Affaire;Payé
376;18;VOL00025;173.61;173.61;05/10/2023;Eco;Payé
377;40;VOL00025;260.41;260.41;08/10/2023;Affaire;Payé
378;37;VOL00025;173.61;173.61;03/09/2023;Eco;Payé
379;35;VOL00025;173.61;121.98;12/11/2023;Eco;Payé
380;1;VOL00025;173.61;173.61;03/11/2023;Eco;Payé
381;22;VOL00025;173.61;158.58;06/10/2023;Eco;Payé
382;30;VOL00025;260.41;260.41;15/09/2023;Affaire;Payé
383;7;VOL00026;776.24;733.0;16/04/2023;Eco;Payé
384;42;VOL00026;776.24;535.84;07/07/2023;Eco;Payé
385;13;VOL00026;776.24;724.15;20/04/2023;Eco;Payé
386;25;VOL00026;776.24;925.24;15/05/2023;Affaire;Payé
387;42;VOL00026;776.24;776.24;21/06/2023;Eco;Payé
388;41;VOL00026;776.24;776.24;04/07/2023;Eco;Payé
389;18;VOL00026;776.24;776.24;05/06/2023;Eco;Payé
390;13;VOL00026;776.24;527.07;26/04/2023;Eco;Payé
391;13;VOL00026;776.24;630.07;09/07/2023;Eco;Payé
392;26;VOL00026;776.24;776.24;21/06/2023;Eco;Payé
393;33;VOL00026;776.24;1038.24;06/07/2023;Affaire;Payé
394;17;VOL00026;776.24;934.24;21/04/2023;Affaire;Payé
395;34;VOL00026;776.24;776.24;25/06/2023;Eco;Payé
396;39;VOL00026;776.24;776.24;10/06/2023;Eco;Payé
397;32;VOL00027;683.37;642.16;01/10/2022;Eco;Payé
398;40;VOL00027;683.37;683.37;01/10/2022;Eco;Payé
399;2;VOL00027;683.37;683.37;12/09/2022;Eco;Payé
400;28;VOL00027;683.37;683.37;12/10/2022;Eco;Payé
401;34;VOL00027;683.37;539.25;11/09/2022;Eco;Payé
402;24;VOL00027;683.37;683.37;30/09/2022;Eco;Payé
403;11;VOL00027;1025.06;1025.06;26/10/2022;Affaire;Payé
404;17;VOL00027;683.37;683.37;02/09/2022;Eco;Payé
405;35;VOL00027;683.37;683.37;22/10/2022;Eco;Payé
406;1;VOL00027;683.37;962.37;06/09/2022;Affaire;Payé
407;3;VOL00027;683.37;683.37;01/10/2022;Eco;Payé
408;18;VOL00027;683.37;475.35;23/09/2022;Eco;Payé
409;18;VOL00027;683.37;541.37;23/10/2022;Eco;Payé
410;8;VOL00027;1025.06;751.27;16/10/2022;Affaire;Payé
411;7;VOL00027;683.37;619.47;10/08/2022;Eco;Payé
412;6;VOL00027;683.37;583.05;14/08/2022;Eco;Payé
413;42;VOL00027;683.37;683.37;17/10/2022;Eco;Payé
