id_miles,id_participant,id_vol,miles_calculé,IDVol,DateVol,VilleDepart,VilleArrivee,DistanceVol,DureeVol,Statut,IDAppareil
22,3,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
23,3,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
24,3,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
25,3,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
26,3,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
27,3,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
28,4,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
29,4,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
30,4,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
31,4,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
32,4,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
33,4,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
34,4,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
35,4,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
36,4,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
37,4,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
38,4,VOL00998,29,VOL00998,20220120,Tokyo,Berlin,5559.08,7.31,Terminé,A011
39,5,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
40,5,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
41,5,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
42,5,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
43,5,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
44,5,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
45,5,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
46,5,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
47,5,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
48,5,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
49,6,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
50,6,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
51,6,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
52,6,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
53,6,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
54,6,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
55,6,VOL00233,20,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
56,6,VOL00143,23,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
57,6,VOL00133,18,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
58,6,VOL02888,18,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
59,6,VOL00998,15,VOL00998,20220120,Tokyo,Berlin,5559.08,7.31,Terminé,A011
60,7,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
61,7,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
62,7,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
63,7,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
64,7,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
65,7,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
66,7,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
67,7,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
68,7,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
69,7,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
70,8,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
71,8,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
72,8,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
73,8,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
74,8,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
75,8,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
76,8,VOL00233,20,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
77,8,VOL00143,23,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
78,9,VOL00412,45,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
79,9,VOL02254,39,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
80,9,VOL02225,39,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
81,9,VOL01337,87,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
82,9,VOL01172,71,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
83,9,VOL00279,58,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
84,9,VOL00389,60,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
85,9,VOL00233,71,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
86,10,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
87,10,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
88,10,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
89,10,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
90,10,VOL02918,22,VOL02918,20211225,Hong Kong,New York,8049.43,11.21,Terminé,A113
91,10,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
92,11,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
93,11,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
94,11,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
95,11,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
96,11,VOL02918,22,VOL02918,20211225,Hong Kong,New York,8049.43,11.21,Terminé,A113
97,11,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
98,12,VOL00412,58,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
99,12,VOL02254,50,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
100,12,VOL02225,50,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
101,12,VOL01337,112,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
102,12,VOL01172,91,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
103,12,VOL00279,74,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
104,12,VOL00233,91,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
105,12,VOL00143,104,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
106,12,VOL00133,81,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
107,12,VOL02888,80,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
108,12,VOL00998,66,VOL00998,20220120,Tokyo,Berlin,5559.08,7.31,Terminé,A011
109,13,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
110,13,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
111,13,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
112,13,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
113,14,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
114,14,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
115,14,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
116,14,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
117,14,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
118,14,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
119,14,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
120,14,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
121,14,VOL01066,34,VOL01066,20211228,Singapour,Paris,6661.5,8.51,Terminé,A077
122,14,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
123,15,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
124,15,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
125,15,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
126,15,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
127,16,VOL00412,58,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
128,16,VOL02254,50,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
129,16,VOL02225,50,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
130,16,VOL01337,112,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
131,16,VOL01172,91,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
132,16,VOL00279,74,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
133,16,VOL00389,77,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
134,16,VOL00233,91,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
135,17,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
136,17,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
137,17,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
138,17,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
139,17,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
140,17,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
141,17,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
142,17,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
143,17,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
144,17,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
145,17,VOL00998,29,VOL00998,20220120,Tokyo,Berlin,5559.08,7.31,Terminé,A011
146,18,VOL00412,45,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
147,18,VOL02254,39,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
148,18,VOL02225,39,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
149,18,VOL01337,87,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
150,19,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
151,19,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
152,19,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
153,19,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
154,20,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
155,20,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
156,20,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
157,20,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
158,20,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
159,20,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
160,20,VOL00389,34,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
161,20,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
162,21,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
163,21,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
164,21,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
165,21,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
166,21,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
167,21,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
168,21,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
169,21,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
170,21,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
171,21,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
172,22,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
173,22,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
174,22,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
175,22,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
176,22,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
177,22,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
178,22,VOL00389,34,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
179,22,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
180,23,VOL00412,58,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
181,23,VOL02254,50,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
182,23,VOL02225,50,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
183,23,VOL01337,112,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
184,23,VOL01172,91,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
185,23,VOL00279,74,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
186,23,VOL00233,91,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
187,23,VOL00143,104,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
188,23,VOL01066,77,VOL01066,20211228,Singapour,Paris,6661.5,8.51,Terminé,A077
189,23,VOL00133,81,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
190,24,VOL00412,58,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
191,24,VOL02254,50,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
192,24,VOL02225,50,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
193,24,VOL01337,112,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
194,24,VOL01172,91,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
195,24,VOL00279,74,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
196,24,VOL00389,77,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
197,24,VOL00233,91,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
198,25,VOL00412,58,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
199,25,VOL02254,50,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
200,25,VOL02225,50,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
201,25,VOL01337,112,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
202,25,VOL01172,91,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
203,25,VOL00279,74,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
204,25,VOL00233,91,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
205,25,VOL00143,104,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
206,26,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
207,26,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
208,26,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
209,26,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
210,26,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
211,26,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
212,26,VOL00233,20,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
213,26,VOL00143,23,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
214,26,VOL01066,17,VOL01066,20211228,Singapour,Paris,6661.5,8.51,Terminé,A077
215,26,VOL00133,18,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
216,27,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
217,27,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
218,27,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
219,27,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
220,27,VOL02918,45,VOL02918,20211225,Hong Kong,New York,8049.43,11.21,Terminé,A113
221,27,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
222,28,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
223,28,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
224,28,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
225,28,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
226,28,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
227,28,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
228,28,VOL00389,17,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
229,28,VOL00233,20,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
230,29,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
231,29,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
232,29,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
233,29,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
234,29,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
235,29,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
236,30,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
237,30,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
238,30,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
239,30,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
240,30,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
241,30,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
242,30,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
243,30,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
244,30,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
245,30,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
246,31,VOL00412,45,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
247,31,VOL02254,39,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
248,31,VOL02225,39,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
249,31,VOL01337,87,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
250,31,VOL01172,71,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
251,31,VOL00279,58,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
252,32,VOL00412,45,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
253,32,VOL02254,39,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
254,32,VOL02225,39,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
255,32,VOL01337,87,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
256,32,VOL01172,71,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
257,32,VOL00279,58,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
258,32,VOL00389,60,VOL00389,20211226,Madrid,Hong Kong,6542.88,8.61,Terminé,A145
259,32,VOL00233,71,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
260,33,VOL00412,13,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
261,33,VOL02254,11,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
262,33,VOL02225,11,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
263,33,VOL01337,25,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
264,33,VOL01172,20,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
265,33,VOL00279,16,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
266,33,VOL00233,20,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
267,33,VOL00143,23,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
268,33,VOL00133,18,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
269,33,VOL02888,18,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
270,33,VOL00998,15,VOL00998,20220120,Tokyo,Berlin,5559.08,7.31,Terminé,A011
271,34,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
272,34,VOL02254,22,VOL02254,20220730,New York,Rome,4281.0,5.54,Terminé,A005
273,34,VOL02225,22,VOL02225,20220524,Singapour,Dubaï,3627.21,5.56,Terminé,A003
274,34,VOL01337,50,VOL01337,20220313,Dubaï,Los Angeles,9281.76,12.47,Terminé,A003
275,34,VOL01172,41,VOL01172,20220214,New York,Hong Kong,8049.43,10.16,Terminé,A145
276,34,VOL00279,33,VOL00279,20220920,Hong Kong,Madrid,6542.88,8.25,Terminé,A072
277,34,VOL00233,40,VOL00233,20221105,Hong Kong,Madrid,6542.88,10.09,Terminé,A131
278,34,VOL00143,46,VOL00143,20220513,Singapour,Sydney,9010.03,11.6,Terminé,A008
279,34,VOL00133,36,VOL00133,20220131,Paris,Singapour,6661.5,8.96,Terminé,A025
280,34,VOL02888,36,VOL02888,20230325,Berlin,Tokyo,5559.08,8.93,Terminé,A036
281,35,VOL00412,26,VOL00412,20211223,Rome,New York,4281.0,6.47,Terminé,A040
